viscosity,effective_radiation_temperature,position,density,heat_budget,tho_0,spectral_radiance,flowgofluxradiationheat,tho_b,channel_depth,flowgofluxforcedconvectionheat,epsilon_effective,dphi_dx,characteristic_surface_temperature,dtemp_dx,effusion_rate,current_time,dphi_dtemp,core_temperature,channel_width,dtemp_dt,flowgofluxconductionheat,effective_cover_fraction,slope,crystal_fraction,mean_velocity,crust_temperature
153637.88023590745,773.628186291782,100.0,972.0,1147535.8688160586,16.980504187236598,0.6038532885400347,920408.83027617,15894.728961128301,3.490999999999997,199430.05526278538,0.95,0.0001685195233435973,772.1548751348761,-0.07518679090606749,20.01620489179694,991.3509341102564,0.00224134480688413,1214.2002801751155,47.70292118726478,0.542225219906598,27696.983277103292,0.9990917374479459,0.4978004519321291,0.12405940805257225,0.12019514185322168,773.15
160242.95108290866,773.5839172323024,110.0,972.0,1259639.5456036376,17.646346702236965,0.6452458243340966,1010329.8015933654,15101.404881670353,3.490999999999997,218951.7352750949,0.95,0.00018498232741855704,772.1283898289499,-0.0825318473312973,20.01620489179694,1074.5489722823122,0.00224134480688413,1213.448412266055,52.37532977852139,0.5420981624495009,30358.0087351772,0.9991727301192703,0.4708700463946551,0.12574460328600823,0.10947252080630643,773.15
167856.8214083838,773.5676522305712,120.0,972.0,1303102.387569038,18.396506739898705,0.6600795957343567,1045223.8488850652,15290.346728939407,3.490999999999997,226528.28021926127,0.95,0.00019136499275408515,772.1188653654075,-0.08537954185644318,20.01620489179694,1165.896096897204,0.00224134480688413,1212.6230937927419,54.18878866313567,0.5420352323902071,31350.258464711427,0.999200404108755,0.4772495853142982,0.1275944265601938,0.10580896012567487,773.15
176156.62175116275,773.4980778163825,130.0,972.0,1556523.8555042786,19.194036772695895,0.7556569419791515,1248482.7371466595,13433.683849046352,3.490999999999997,270653.65073572757,0.95,0.0002285807924009779,772.0769385775008,-0.1019837696096149,20.01620489179694,1260.4060513294419,0.00224134480688413,1211.7692983741774,64.749873213065,0.5418452590897972,37387.46762189155,0.9993307792438957,0.4154063506094462,0.12950807648773463,0.08855089739016547,773.15
186670.660693353,773.4636161987019,140.0,972.0,1718372.2024691824,20.175692291174744,0.8156578451333358,1378339.4689163482,12894.659161802514,3.490999999999997,298845.1663097441,0.95,0.0002523487695297579,772.056314359343,-0.1125881072625179,20.01620489179694,1373.3354545848244,0.00224134480688413,1210.7494606780813,71.49735426377853,0.5417334924969789,41187.56724309003,0.9993939170442496,0.39777595102454566,0.13179388441174442,0.08019400770779414,773.15
199091.14854554378,773.4601674746978,150.0,972.0,1727340.5751170167,21.296661204688178,0.8166341518825654,1385614.619020117,13680.015735470346,3.490999999999997,300426.78517207684,0.95,0.00025366580538445415,772.0545551648885,-0.11317571692018909,20.01620489179694,1498.033050899469,0.00224134480688413,1209.6235796054561,71.87601344875085,0.541691988452624,41299.1709248228,0.9993971090643924,0.42350884049627985,0.134317372107042,0.07977152743737752,773.15
212504.61425604066,773.5381819026127,160.0,972.0,1372236.2318819421,22.46349466647333,0.6775252180592848,1100898.7311211764,18376.171844307253,3.490999999999997,238622.76113027736,0.95,0.00020151753160460584,772.1025390229277,-0.08990920584180496,20.01620489179694,1623.3910617241986,0.00224134480688413,1208.4918224362543,57.08390641722929,0.5418431852486454,32714.739630488402,0.9992409417242853,0.5848078876757816,0.13685403016088654,0.1004426595651798,773.15
223874.59614947642,773.5367934501197,170.0,972.0,1370711.7009570124,23.419477733889217,0.6750096149339658,1099728.440766812,19379.438216569106,3.490999999999997,238370.55568805579,0.95,0.000201293649082261,772.1020300774128,-0.0898093182557195,20.01620489179694,1722.9503529983483,0.00224134480688413,1207.5927303778362,57.02363382399383,0.5418132855444081,32612.704502144643,0.9992401397230577,0.6214053434101298,0.1388692054769326,0.10054882501198639,773.15
235908.1457600585,773.4753208655555,180.0,972.0,1621939.6938885278,24.40040910843228,0.7697967212512785,1301289.7050574508,17257.853607601555,3.490999999999997,282127.468345079,0.95,0.00023818732950644465,772.0647201296871,-0.10626982906640216,20.01620489179694,1822.4045236344339,0.00224134480688413,1206.694637195279,67.49653594528108,0.5416411318794614,38522.52048599808,0.9993580033602311,0.5450300296500852,0.1408821419677552,0.0849474613566032,773.15
251081.54342128846,773.3557516504961,190.0,972.0,2549817.7644567695,25.595152187096545,1.1247010156904411,2045653.8325712527,11690.645093607025,3.490999999999997,443716.81832987285,0.95,0.0003744493622867037,771.9917271295585,-0.16706459494166595,20.01620489179694,1940.1243452783172,0.00224134480688413,1205.631938904615,106.17156043028524,0.5413265912962354,60447.113555643664,0.9995918151956809,0.35885144096343763,0.14326401526281965,0.054003721483223376,773.15
277169.43853126,773.3108239167206,200.0,972.0,3233393.1210172568,27.549180257097408,1.3844189541711704,2594213.0630712924,10181.9788487988,3.490999999999997,562801.9153876867,0.95,0.00047483471527427805,771.9644448605069,-0.21185259573442572,20.01620489179694,2125.296769054826,0.00224134480688413,1203.9612929551984,134.6736472157243,0.5411707401974797,76378.14255827747,0.9996781887864684,0.3108596258978942,0.14700850888568667,0.04257447167619955,773.15
314670.2133358333,773.3201576272713,210.0,972.0,3022063.972514485,30.163201967036944,1.298897148092616,2424959.093113338,12362.062032915179,3.490999999999997,526064.3846663367,0.95,0.0004438003150937954,771.9705372886199,-0.19800626558247286,20.01620489179694,2360.1793079634726,0.00224134480688413,1201.8427669978541,125.88107106858433,0.5411300390616768,71040.49473481037,0.9996557146969511,0.3804831684980636,0.15175685603842945,0.045548225243431946,773.15
354865.83252961637,773.2880186380489,220.0,972.0,3686659.8017705427,32.747488985107786,1.5509599595927308,2958487.9976413227,11432.454576033308,3.490999999999997,641887.2642798265,0.95,0.0005413984603072641,771.9509848955277,-0.24155072376387493,20.01620489179694,2579.7268303214814,0.00224134480688413,1199.8627043420295,153.60240744141655,0.5409952601117903,86284.5398493937,0.9997178406899045,0.3505801834834902,0.1561948591893674,0.03732792652421898,773.15
411817.858204212,773.2581162532609,230.0,972.0,4645835.316574082,36.08985389377612,1.9158122851236845,3728616.5304662082,10534.233024806825,3.490999999999997,809072.2378505943,0.95,0.0006822566286225688,771.9327446231413,-0.3043961047524087,20.01620489179694,2847.6227712736754,0.00224134480688413,1197.4471971043906,193.61683115997133,0.5408528495574543,108146.54825727976,0.9997761474926715,0.3219945740386264,0.16160884379244003,0.029613434661468263,773.15
498562.94568833587,773.2303062522319,240.0,972.0,6153009.414069168,40.60800436916394,2.490863997722752,4938947.225901552,9637.945917076637,3.490999999999997,1071817.8814271323,0.95,0.0009035902421572242,771.9157186393915,-0.40314646786246877,20.01620489179694,3185.3073429661167,0.00224134480688413,1194.4032360568665,256.50288320532206,0.5406967354873023,142244.30674048438,0.9998310241116741,0.29373980504971053,0.16843141007866572,0.02235319660842463,773.15
646395.7138226143,773.1999345961086,250.0,972.0,9681223.317462128,47.137612273347074,3.8432484588295686,7772534.349051267,7959.543118696506,3.490999999999997,1686943.320118402,0.95,0.001421720386417961,771.8969699493382,-0.6343157831187993,20.01620489179694,3632.670651900246,0.00224134480688413,1190.3717713782419,403.7278893544765,0.5405052365674687,221745.64829245827,0.9998926402183937,0.24145215292336228,0.17746731250023795,0.014201791677270387,773.15
988746.7897408925,773.1751199971396,260.0,972.0,18585519.397280183,58.736607295488064,7.265032961923081,14926219.913632356,6370.952416205555,3.490999999999997,3239883.846404899,0.95,0.002729346380391773,771.8815491800088,-1.2177271306087225,20.01620489179694,4336.807159972305,0.00224134480688413,1184.028613547054,775.4105223414862,0.540258279881898,419415.63724292774,0.9999441002512653,0.19257812994998402,0.19168451636441755,0.007394353331191028,773.15
2389729.7993969093,773.1573877532503,270.0,972.0,59010704.94361221,85.93741048559126,22.839060171320767,47423154.43351813,4907.925179521216,3.490999999999997,10294369.782961706,0.95,0.008665921597315412,771.8703937962449,-3.8663937698022437,20.01620489179694,5689.190465462695,0.00224134480688413,1171.8513422409667,2463.8379145832537,0.5398549499444665,1293180.7271323833,0.9999824070880021,0.14797862144745053,0.21897798016833528,0.002327125232134503,773.15
119227322.59071851,773.1501065393508,280.0,972.0,3238533028.007312,226.6052907763561,1251.4156832025446,2608131263.894018,4674.866149732922,3.490999999999997,566175225.854794,0.95,0.47558952799911963,771.8656880927642,-212.18936351889297,20.01620489179694,9986.337804984138,0.00224134480688413,1133.1874045429443,135508.80038859576,0.538690416013208,64226538.25849978,0.9999996801207165,0.14090359685368542,0.30563719614148943,4.231208130006353e-05,773.15
