position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,yield_strength,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,current_time,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
100.0,779.1490637469418,0.95,1.2274535256793202,134494.93246278865,31309.751178415907,774.6831635923199,28474.030667044186,194278.71430824875,6.775120821442007,0.119602345130337,1384.538000257198,426.15103805578707,15.296787210284794,1069.2,0.7289026122957837,773.15,0.9945046512268655,0.00017290521646398278,-0.028946185791961405,0.005973333333333333,124.43380765132537,1.2659370263855858,0.2464204150128763,3.0025491853441273,0.6079999999999995,15.296787210284794,1555.6217679419517
110.0,777.6022299480537,0.95,1.2466342177333736,180259.10091407527,42278.29387886534,773.951643829374,38408.92853045181,260946.32332339243,9.152938556882239,0.12133139729497683,1384.2485383992785,432.0490054222447,15.93541751987797,1069.2,0.5395429276268189,773.15,0.9959293630621475,0.00023223841417914883,-0.038879198802312866,0.005973333333333333,138.15306154246394,1.2586198047350996,0.18516632630816368,3.0025491853441273,0.6079999999999995,15.93541751987797,1174.1104674297806
120.0,779.6926788506614,0.95,1.2132912392889854,123186.08798893372,28565.49054618317,774.9446701259878,26021.292632879515,177772.8711679964,6.1881548698954525,0.12365378143676832,1383.8597464112554,440.1201312371746,16.820080038969756,1069.2,0.7980413175166812,773.15,0.9939849707989674,0.00015821525729245092,-0.026486929234227276,0.005973333333333333,156.68726797527742,1.26825983418323,0.27933285511798783,3.0025491853441273,0.6079999999999995,16.820080038969756,1758.2920941866928
130.0,778.2714239675759,0.95,1.226806674898965,156604.75794344753,36565.040995374104,774.2704866441427,33276.18279121091,226445.98173003257,7.92453795722986,0.12523593400969282,1383.594877118913,445.71863796834805,17.440649341858634,1069.2,0.6231787003888523,773.15,0.9952998494660416,0.00020153361436347518,-0.03373888633317107,0.005973333333333333,169.21794750339717,1.2615213202603655,0.22080328807484642,3.0025491853441273,0.6079999999999995,17.440649341858634,1396.6975824466656
140.0,779.6712583454391,0.95,1.2059059308005744,123301.51765973822,28567.200017846208,774.9372357840506,26048.135960336524,177916.85363792095,6.194634100275484,0.12725127015332757,1383.2574882555814,452.96976970981115,18.252398558693844,1069.2,0.7972066122757786,773.15,0.9939912432333097,0.00015834339958646377,-0.026508381627198176,0.005973333333333333,185.26470904027283,1.267959426835929,0.28764309407007826,3.0025491853441273,0.6079999999999995,18.252398558693844,1809.1728773593225
150.0,778.6788954407608,0.95,1.2135300268603781,144893.4993925109,33726.54866990809,774.4661099321523,30735.814037830158,209355.86210024913,7.316588339698009,0.1288347041491922,1382.9924044393094,458.76282357613843,18.90709831091097,1069.2,0.6749598359352914,773.15,0.9949103002800332,0.00018632365765512156,-0.031192576616370798,0.005973333333333333,197.80850866011428,1.2632241837230784,0.2465171739407958,3.0025491853441273,0.6079999999999995,18.90709831091097,1556.2201737686062
160.0,777.4980436878931,0.95,1.2288135510332547,183432.3789586132,42935.17155870628,773.9072252917331,39102.419968282666,265469.97048560216,9.319060142670503,0.13069794072574342,1382.6804786731457,465.68973638073356,19.696781838873093,1069.2,0.5299250342592453,773.15,0.9960017809875771,0.00023626439404304456,-0.03955319096702755,0.005973333333333333,212.62420504320795,1.2576135646958728,0.19684137195872967,3.0025491853441273,0.6079999999999995,19.696781838873093,1247.210394968988
170.0,775.838529196207,0.95,1.2783041214021984,294864.9400475772,69564.917865962,773.124908756689,63292.94959802124,427722.8075115604,15.108839204628241,0.13306058466617388,1382.2849467634753,474.6481856047696,20.728505424882204,1069.2,0.3268552400674083,773.15,0.9975320248557707,0.0003806670477653494,-0.06372774237143126,0.005973333333333333,231.4947987187426,1.2497847919060867,0.12523814916841466,3.0025491853441273,0.6079999999999995,20.728505424882204,796.5853125046339
180.0,777.6230983235477,0.95,1.2133552973930897,177667.22923511016,41488.586281053555,773.9696784147367,37854.01859113778,257009.8341073015,9.020363856730926,0.13686725514382736,1381.647669339761,489.5053674012653,22.463507260419632,1069.2,0.547472734338054,773.15,0.9958696595450143,0.00022873499630632718,-0.038292689113782453,0.005973333333333333,262.0893824186633,1.257852192856771,0.21427000736584537,3.0025491853441273,0.6079999999999995,22.463507260419632,1356.015411977596
190.0,779.018322095447,0.95,1.1878547964073305,135745.4063322362,31452.776024883544,774.634631803266,28755.168710556463,195953.3510676762,6.842704554545382,0.13915460510689062,1381.264742448623,498.6918045237969,23.549957004870496,1069.2,0.7217034179984019,773.15,0.9945587795193794,0.00017439561870603146,-0.029195695095875804,0.005973333333333333,280.35513224105574,1.2642379764919647,0.2879717716683244,3.0025491853441273,0.6079999999999995,23.549957004870496,1811.1827137710168
