viscosity,effective_radiation_temperature,position,density,heat_budget,tho_0,spectral_radiance,flowgofluxradiationheat,tho_b,channel_depth,flowgofluxforcedconvectionheat,epsilon_effective,dphi_dx,characteristic_surface_temperature,dtemp_dx,effusion_rate,current_time,dphi_dtemp,core_temperature,channel_width,dtemp_dt,flowgofluxconductionheat,effective_cover_fraction,slope,crystal_fraction,mean_velocity,crust_temperature
31913.281927718755,774.0274840751289,100.0,972.0,1030074.8058099031,16.7308922152661,0.654461836600399,814292.176567662,9816.395199138531,2.155999999999998,176162.21917197536,0.95,0.00015123116151906526,772.3965559604438,-0.0674734030456044,20.02134125491783,583.4865578932687,0.00224134480688413,1214.4870740178465,42.11609248929286,0.8926479371162076,39620.4100702657,0.9983344555919708,0.4978004519321291,0.12341660416252101,0.22049377898648412,773.15
32842.355627377874,773.9573022723717,110.0,972.0,1115605.5781253893,17.32198047787399,0.6843542030166272,881903.8336041138,9326.447701197729,2.155999999999998,190841.66445806454,0.95,0.0001637884223800602,772.3545541245143,-0.07307595952081795,20.02134125491783,628.8393113630751,0.00224134480688413,1213.8123399873905,45.629589073097456,0.8923261714850107,42860.08006321087,0.998462604540338,0.4708700463946551,0.12492891577771166,0.20351566993583892,773.15
33881.63809182902,773.9393670808836,120.0,972.0,1136606.2482651705,17.977268562569115,0.6895909676725587,898548.3093851845,9443.135934572718,2.155999999999998,194457.32157197097,0.95,0.00016687165062717838,772.3442331890672,-0.07445157483785808,20.02134125491783,677.9755769054417,0.00224134480688413,1213.0815803921823,46.49508171366906,0.8922006498248279,43600.61730801491,0.9984912011163564,0.4772495853142982,0.12656680000151227,0.1997272839801974,773.15
34977.118508709966,773.8191297248306,130.0,972.0,1335441.512389803,18.661238981893145,0.7622400829952942,1055696.7346583302,8296.483064607255,2.155999999999998,228573.6849878759,0.95,0.0001960637906299382,772.2717228058013,-0.08747596087301798,20.02134125491783,728.0438490048684,0.00224134480688413,1212.3370646438038,54.66063427790488,0.8916814186574836,51171.09274359691,0.9987164503527476,0.4154063506094462,0.12823551650778406,0.16989075432046752,773.15
36313.35364070106,773.7657944650363,140.0,972.0,1444404.7009739305,19.4861931831623,0.8003651082368066,1141868.8250863678,7963.587840975713,2.155999999999998,247282.91059577552,0.95,0.00021206129826671814,772.2398380385796,-0.09461342030703489,20.02134125491783,786.9052039973647,0.00224134480688413,1211.4623050350738,59.13865504759687,0.891408890365965,55252.96529178713,0.9988135839610741,0.39777595102454566,0.13019615441408344,0.1570265062949858,773.15
37820.94560098554,773.7742354984355,150.0,972.0,1417873.3258599476,20.404734826358073,0.7868909595801072,1120995.0622368387,8448.614702284176,2.155999999999998,242754.79164087627,0.95,0.0002081660756551614,772.2455463279371,-0.09287552500436086,20.02134125491783,850.5887198314001,0.00224134480688413,1210.5161708320034,58.055046341069854,0.89136785364556,54123.47198223262,0.9987914526622582,0.42350884049627985,0.13231676739675063,0.15995743650865085,773.15
39366.786698075055,773.9519923691154,160.0,972.0,1098535.049951668,21.33332212243054,0.6624564375333926,868724.2973098542,11348.904754032206,2.155999999999998,187994.83099098827,0.95,0.00016128220070674588,772.3546162557824,-0.07195778186889369,20.02134125491783,913.1053506193608,0.00224134480688413,1209.5874155819597,44.948915102725,0.8919781490451937,41815.921650825396,0.9984393415080733,0.5848078876757816,0.13439842815330225,0.20659756454378772,773.15
40611.36494715517,773.966832491247,170.0,972.0,1074540.2483241858,22.071335346453996,0.6508084878691499,849813.1887736382,11968.510110261524,2.155999999999998,183891.99682161093,0.95,0.0001577593869265462,772.3642503339115,-0.07038604075642424,20.02134125491783,961.5086317620121,0.00224134480688413,1208.8678377632707,43.96705768908986,0.8919793398736082,40835.0627289367,0.9984045172297821,0.6214053434101298,0.13601125016036972,0.21121123125354843,773.15
41869.95704561525,773.8529059218034,180.0,972.0,1243900.7643405234,22.809086984293966,0.7125899967694025,983717.5615382463,10658.244737321382,2.155999999999998,212962.3544956532,0.95,0.00018262417092879243,772.2950976664985,-0.08147973054742642,20.02134125491783,1008.8545988332211,0.00224134480688413,1208.1639773557065,50.92488879834921,0.8914872919056973,47220.848306623746,0.998622356668312,0.5450300296500852,0.13758884402963517,0.18235359189256575,773.15
43379.743895485015,773.6071949573304,190.0,972.0,1903591.9015059997,23.68291006279909,0.9600002722419281,1505210.66679458,7220.00309991886,2.155999999999998,326171.10832928115,0.95,0.00027947719204401755,772.1452050649248,-0.12469174362892464,20.02134125491783,1063.6931128225235,0.00224134480688413,1207.3491800502322,78.02048075885054,0.8904811647046759,72210.12638213852,0.9991005806943044,0.35885144096343763,0.13941508573892308,0.1190243420546346,773.15
